epoch,lr,train_total_loss,val_total_loss,best_val_loss,best_epoch,train_roi_classifier_loss,train_roi_box_loss,train_roi_mask_loss,train_rpn_objectness_loss,train_rpn_box_loss,val_roi_classifier_loss,val_roi_box_loss,val_roi_mask_loss,val_rpn_objectness_loss,val_rpn_box_loss,is_best,epoch_time_sec
1,2.8e-05,2.2109050242475763,1.466759241449422,1.466759241449422,1,0.8876626538642194,0.2934645929202609,0.7666102457955211,0.1618031293168202,0.10136440052116621,0.5454320053088254,0.252758969700542,0.5542327132718317,0.031070010935695006,0.08326554585986867,1,290.54278540611267
2,4.6e-05,1.3099240915180792,1.0614431987548696,1.0614431987548696,2,0.47376158328616186,0.2307118519524579,0.48802028126648844,0.030109704835057614,0.08732067087775901,0.3653297425857906,0.18735470008747332,0.40568540466242825,0.022212517786578373,0.08086083120955476,1,287.02449679374695
3,6.4e-05,1.0849315665412012,0.9588187443798986,0.9588187443798986,3,0.37880646113970484,0.19224446914137705,0.4132698748732414,0.023243037792607342,0.0773677220366515,0.3493956524236449,0.16308679039879093,0.36713597527865705,0.016841541121489015,0.06235878293579123,1,287.5006310939789
4,8.2e-05,0.9790691328680177,0.9055475362415971,0.9055475362415971,4,0.3449267892826358,0.1693008526984015,0.3764909729939099,0.019294593219395043,0.06905592166703166,0.3351696987861189,0.14351791302705633,0.35522359506837253,0.013974457882858556,0.05766187263010391,1,284.7587950229645
5,0.0001,0.9276179886911574,0.8875252814128481,0.8875252814128481,5,0.3293529758831481,0.15731709553001,0.359064144623834,0.01571084700433209,0.06617292552134768,0.33231772564608475,0.15020025156695269,0.33655420192356766,0.011318425099959532,0.05713467512697239,1,287.1991536617279
6,0.0001,0.9207308133173666,0.9607140368428724,0.8875252814128481,5,0.33329771053844953,0.15311593646472393,0.35206255482302773,0.018444367969069914,0.06381024179526831,0.3396800044281729,0.13322916684736466,0.35103055803940214,0.07591139928534113,0.06086291189241255,0,286.48196816444397
7,0.0001,0.8272838968716234,0.8463543587717517,0.8463543587717517,7,0.29037536740139397,0.13428529110515744,0.33222974367073954,0.011854488207827484,0.05853900595729658,0.30001561251179926,0.14382458339477408,0.3333792649466416,0.01063173979697428,0.05850315426861675,1,286.61905241012573
8,0.0001,0.786962025714629,0.7520075374636157,0.7520075374636157,8,0.2694176511360135,0.12718461045408164,0.32532855720098014,0.009275830273281238,0.05575537715075316,0.2665799489822881,0.11056130266395109,0.316186861025876,0.008243315343359679,0.050436105991810046,1,284.8843238353729
9,0.0001,0.7627741831718181,0.7422943779106798,0.7422943779106798,9,0.25448915973613734,0.12255741850453734,0.3195417369751967,0.010381113322640773,0.055804755279550075,0.2574554452351455,0.10980666451926889,0.31902080712647274,0.008049814826768727,0.04796164634573306,1,290.8059504032135
10,0.0001,0.7259572068041609,0.7683572004581319,0.7422943779106798,9,0.2363596736171911,0.11527221075930567,0.31367424800414445,0.00782848572485508,0.05282258865521566,0.28682348364642984,0.11245794777983222,0.310434283573052,0.007876223781053779,0.05076525975661031,0,286.33174562454224
11,0.0001,0.7117132817897994,0.7784167347283198,0.7422943779106798,9,0.23381455128564854,0.112356692680112,0.306771445220447,0.006250255930541897,0.05252033837445836,0.28832090006306255,0.11574869378116624,0.3138800335341486,0.007846229830716641,0.05262088243014597,0,285.04343605041504
12,0.0001,0.6873262117999469,0.7432323572964504,0.7422943779106798,9,0.22004665925169908,0.10797816459739278,0.3023674821129757,0.006255308989889965,0.05067859662745451,0.27068395185573346,0.11006413808670537,0.3072908701567814,0.007903641878410467,0.047289753456375205,0,289.19543504714966
