epoch,lr,train_total_loss,val_total_loss,best_val_loss,best_epoch,train_roi_classifier_loss,train_roi_box_loss,train_roi_mask_loss,train_rpn_objectness_loss,train_rpn_box_loss,val_roi_classifier_loss,val_roi_box_loss,val_roi_mask_loss,val_rpn_objectness_loss,val_rpn_box_loss,is_best,epoch_time_sec
1,2.8e-05,2.4825148202806173,1.7112714648246765,1.7112714648246765,1,1.0821574340629794,0.30922959410960055,0.7945805385670305,0.1934254403233297,0.10312181198067039,0.7020468825410152,0.27693554818116384,0.6076819224604245,0.03564564465898378,0.08896147327112226,1,824.7815599441528
2,4.6e-05,1.5202961511698188,1.3259480254403475,1.3259480254403475,2,0.6241215581810752,0.2572140532933195,0.5082939401923532,0.03956126348291179,0.0911053365354549,0.5242057216064683,0.22244871374348113,0.4611483676680203,0.02497104874266119,0.093174172228138,1,815.5164740085602
3,6.4e-05,1.2776509800237588,1.2288259440454943,1.2288259440454943,3,0.5015683708765402,0.22174717847123088,0.4417632063922956,0.029632323823276022,0.08293989889963846,0.48094636787628303,0.205763727272379,0.4398851707063872,0.0246691288571034,0.0775615462615829,1,811.0578098297119
4,8.2e-05,1.1591312666580043,1.0703877157178419,1.0703877157178419,4,0.4517500372242558,0.19678375612010635,0.40964851255025664,0.02562786794036118,0.0753210943435302,0.4270463594074907,0.17436623139114216,0.3849769170941978,0.01889358282667296,0.06510462421634845,1,796.1460359096527
5,0.0001,1.0756209133823404,1.028397683028517,1.028397683028517,5,0.41975558195407536,0.1798318402216895,0.38111057030446155,0.023918454495372336,0.07100446638621111,0.4070395944447353,0.16974612199540795,0.3700477704919618,0.0180835643574467,0.06348063130381293,1,808.9600555896759
6,9.991927064434372e-05,1.0402399056641631,1.0582613912122003,1.028397683028517,5,0.4029704754984425,0.17267883294839556,0.3745900406393894,0.021234269544421466,0.06876628636292276,0.4165165738812808,0.17838649433748474,0.3808982090703372,0.016435588463530715,0.06602452517454994,0,814.3298840522766
7,9.967734589975323e-05,0.9793401732270723,1.0585909674907552,1.028397683028517,5,0.3791492733507578,0.16024814401897639,0.3583240570640071,0.017100420262664857,0.06451827777490665,0.405325204390904,0.2177161000412086,0.35082939184945205,0.016098511023527204,0.06862175890308772,0,796.6388072967529
8,9.927501487446081e-05,0.9422555027929079,0.9648003676841999,0.9648003676841999,8,0.35202367608110574,0.1526050172777466,0.36087192294671555,0.014579673007717814,0.06217521540513767,0.38732699880312227,0.151286132787836,0.35144481802808825,0.015239579729527107,0.0595028355043253,1,804.0482063293457
9,9.871358988864551e-05,0.9052643488312877,0.9248728497274991,0.9248728497274991,9,0.33728156188979397,0.14851369091263883,0.34353805102350177,0.013972057297029255,0.061958987283573345,0.36848642671930376,0.1470440803930677,0.3399699560527144,0.01149968914306273,0.057872698342042235,1,804.0290517807007
10,9.799490219391763e-05,0.8625513655771273,0.9533357649013914,0.9248728497274991,9,0.31418669501016305,0.1403970515899341,0.3372154783948447,0.01175007480954332,0.05900206674026922,0.3807475892634227,0.1571000852589977,0.34655832093337485,0.010847682573286624,0.05808208611440556,0,807.3003990650177
